id,created_time,author,content
1628974551,2020-12-16 00:15:38,程从道,"       关评论了。评论区魑魅魍魉，太多复读机了，整的我也成复读机了。各位如果有有趣的观点，欢迎私信交流。以下为原答案：———————————————————————     你一个月工资4000，你没用花呗前下班去吃22元的黄焖鸡，你用了花呗以后以试一试的心态点了早就想吃却舍不得的黄焖排骨，黄焖排骨好吃，但是要35元，你看了看银行卡，你的工资还是4000元，一股谜之快感从脑内诞生，你觉得你的工资变成了7000元，你觉得马云真好。你的手机坏了，你的工资只够你买2800的手机，但是用了花呗你可以明天拿到一台iphone12，公司好几个同事都用的是iphone，你咬了咬牙，分期，不多。以前你想买东西需要省吃俭用攒钱，现在可好了，你不用省吃不用捡用就能获得你心心念念的东西，慢慢的你发现你的生活离不开花呗了，喝豆浆油条，还是买一台电瓶车，你都首先使用花呗，老实说你借花呗从来没有惦记记还款，等开工资的哪天你才发现我这月工资呢，一想工资全还花呗了，日子还得过，工资还了花呗，只能再用花呗，利滚利越来越多，恶性循环，到最后你一看未还款已经高的吓人，于是你意识到不能再这样下去了，开始省吃俭用还花呗。最后你心心念念的东西，还是你省吃俭用买上的，你提前用上了，也需要省吃俭用更多时间，你以为你能扛得住诱惑，事实是这玩意儿就和毒品一样，一用就上瘾，因为实在太他妈爽了，花呗会让你失去原本的理财能力，会让你提前过上你想要的日子，但是，代价是什么呢？ 补充：   本故事和个人无关，如有雷同，关我屁事。攻击本人的希望去看脑子。顺带统一回复评论区出现的比较多的两个问题。       第一个是关于自制力的问题。如果你想回复的是“说到底不还不是没有自制力”这样的话，请先看下面这段话。    “这个问题其实根本就不是讨论自制力的问题。”目前为止，中国90后占到了消费贷总比例的49%，其中有28%是在以贷养贷，并且这个指数是一定会增加的。当它变成一个社会常态问题时，线性思维是不能解决这个问题的，那我们能不能通过教育让至少大多数人对消费贷款有一个正确的认知，答案是“不能”。为什么我敢如此断言，因为上一个搞全民贷款的国家是曾经的日本首富武井保雄。最后的结果是什么，东京成为自杀圣地，每天都有数不清的人跳楼卧轨，少女们援交还债，日本成为低欲望社会。如果你因为用花呗，白条逾期而欠款，你应该庆幸，你欠的，幸亏是花呗白条，这点钱，大概率不会彻底毁了一个人。让所有人懂资金控制，有自制力，这本身就是一个乌托邦幻想，“自制力”本身就是一个优秀的品质，这就注定它是极其稀有的东西，且没有人拥有永恒的自制力，欲望只能被压制，不能被消灭。所谓的你有自制力，也不过是你跑赢了宏观，输给时间是迟早的事，毕竟没有一个人上来是奔着逾期去的。“钱可以借给你，但是你会下地狱”—《暗金丑岛君》第二个问题，“如果我每月还清，不分期，不欠款，你说的那些对于我来说有没有影响？”先说答案，“有”。为什么？因为还是那句话，没有一个人是上来奔着逾期去的。花呗是小额贷款，不是慈善机构。经济学中从来没有免费的产品，除非你就是产品的一部分，只要你借了花呗，无论产不产生利息，你已经处于负债状态了。至于你现阶段欠不欠钱，根本不重要。改变你的消费习惯后，饵且够长，鱼且够多，你不上，他上。————————   说下花呗的盈利模式，按照账面来看，花呗的三期手续费利率是2.5%，六期为4.5%，九期为6.5，十二期为8.8%，假设你买了1200块的东西，分三期付款，那么连本带息就是1230块钱，平摊下来每个月还本金400，利息10块，看着没毛病是吧。但是这么算是不对的，因为这1200块钱你并没有完全占有三个月，没听懂？这么和你说，第一个月，花呗借给你1200块钱，是实打实交到你手上的，可第二个月，你手上只有800块了，但花呗仍然按照1200的利和你要钱，等到第三个月，你的本金其实已经只剩下400块了，但你的利息还是按照1200来付的，事实上，从第二月开始，花呗就开始用不存在的钱和你要利息。那么真实的利率应该怎么算，在金融领域里有一个专门的计算模式，叫""内部收益算法""，起初是为了计算资本折现率的，但套在花呗身上，依然实用，我们通过微信小程序可以算到，初期投入1200，单期现金410，期数为3，每期跨度一个月，实际月利率为1.24%三个月就是3.72%，这可比花呗标注的2.5%高出了不少，再乘以12，就是14.94%，以此类推，六期九期和十二期分别是15.27%，15.34%，15.86%，那么今天中国高利贷的标准是什么，根据今年最后一次更新数据中，民间贷款的上限为贷款市场报价利率的4倍，这个指标的最后一次更新数据为3.85%，4倍就是15.4%，也就是说，超过这个年利率的贷款，都是高利贷，花呗就是在疯狂打擦边球。看到这里，你还觉得花呗是那个你没钱了就给你借钱的贴心大哥哥吗？花呗从这方面来说，就是高利贷。而这，只是花呗，借呗这类产品中用来赚钱的冰山一角。——————分割线内内容数据来自于b站up主冷先生，侵删。      关于花呗和信用卡的区别，本质上来说，没啥区别，但花呗和信用卡仍有一个最大的区别，既审核制度，信用卡的使用人大多都是有稳定工作的成年人，且信用卡有一套严格的审核流程，会根据你的还款能力来控制额度，如此控制下，信用卡的逾期者在近10年仍然翻了十倍，（就这还有人说我是信用卡派来的。我佛了。）但花呗不一样，花呗唯一条件就是年满18岁，这导致花呗的使用群体中，学生占据了大多数，所以还不上钱是个家常便饭的事，这里评论区很多人提到了自控这个事，事实是多数成年人也没什么自控力，你以为你有自控力，只是你现在有自控力而已，练出腹肌很简单，保持腹肌不消失就很难了，何况对于大多数人来说，练出腹肌已经很难了，输给欲望也是迟早的事。唯一的办法就是不要碰，从小父母就教给我们，天下哪有白吃的午饭，如果你现在还在白吃马云的午餐，日后很大概率你会把你吃的都吐出来。    总而言之，超前消费，有好有坏，你大可享受花呗给你带来的快捷便利与贴心，也不必耻笑那些关了花呗的人是无自制力的巨婴。从我个人来说，我不喜欢进行超前消费，更不相信人有自制力。而2017年诺贝尔经济学奖获得者理查德塞勒用行为经济学的理论告诉我们，“理性人”是不存在的，自制力？呵。    我这里补充一下花呗广告传递的消费观念，在一条花呗的广告中这样说道“我是一个刚毕业的大学生，我的生活不应该只有两点一线，于是我开始了用花呗全球旅行”。事实上我写的这个故事就是按照花呗传达的这个理念去写的，唯一的不同就是，我告诉了你结果，而没有人告诉广告中那个女孩，她回来后迎接她的是一场灾难。再说的直白点，如果你是每个月定时定点还钱的用户，你甚至都不是花呗的目标用户。花呗真正想要的用户就是广告中的这种，至于为什么会有免息这种东西，钓鱼尚且要饵，要不你会乖乖上钩？"
1628974551_1214960141,2020-12-16 03:52:14,自缚,就是这样的，准备关闭了，[大哭]一年到头打工没钱回家
1628974551_1214987784,2020-12-16 08:05:52,Edge,仿佛听见未来的自己说，别特么再花我的钱了[看看你]
1628974551_1215009340,2020-12-16 08:50:30,米粒,已经关了，提前消费不是什么好事，救急可以不能依赖。用一次你就会觉得下个月还了无所谓，但是到头来下个月还是没钱。
1628974551_1215042836,2020-12-16 09:40:35,抽风的海龟,月薪30000都能吃15块钱了吗？我到手块30万了，每餐也就啃啃馒头就咸菜，碰见好日子也才敢买俩包子。
1628974551_1215723940,2020-12-17 08:30:38,狍子,你也太奢侈了吧！我虽然月薪3亿，但每天还是去菜市场捡别人丢掉的烂菜叶子果腹
1628974551_1220825562,2020-12-24 13:02:07,是知乎否,有一些主流态度批评使用者自控能力不强，才导致超前消费。我觉得这种道理很蛮横，就像你打不过我是你活该。社会主义核心价值观就是：提高民众的幸福感、认同感。而那些自认为读了点书，自以为高尚阶级人士，总喜欢把自己与基层人民分开谈论。我来自群中，归于群中，语言感悟也属于群众。
1628974551_1222033128,2020-12-26 08:23:21,谢达,理性只存在于欲望没有被挖掘的时候
1628974551_1224881695,2020-12-30 10:22:45,程从道,当你这么想的时候，其实已经一只脚踏入陷阱了，当你决定分期的时候，无论存不不在利息，你其实已经处于负债状态了。而一旦你习惯处于负债状态。。。
1628974551_1225214035,2020-12-30 18:23:36,独家记忆,我是一个大学生  之前欠花呗3000  每月生活费挺多的  但就是攒不下钱  原因就是因为还花呗  11月份狠心借了朋友3000  还清就关了  当时还高兴的发了个朋友圈  我很少发朋友圈  虽然放假这几天 没钱  连一个打火机都没不起  每天也不出门  但是很开心  终于不用欠花呗了  过完年就能攒下钱了
